Gene Set	Score	0.95 MoE	P-Value	FDR
IPA_RFX1_DN	0.572748036488986	0.1727577117673671	0.08046744574290485	0.9891608391608392
IPA_NFE2L2_UP	0.5688907450993776	0.24337192991786774	0.08146911519198664	0.9891608391608392
IPA_RFXANK_DN	0.5671270557515797	0.16954890477163198	0.08196994991652755	0.9891608391608392
IPA_HIST2H3C_UP	0.5653445217440161	0.15744291671935007	0.08263772954924875	0.9891608391608392
IPA_HIST1H2BG_UP	0.5653445217440161	0.15744291671935007	0.08263772954924875	0.9891608391608392
IPA_HIST1H2BI_UP	0.5653445217440161	0.15744291671935007	0.08263772954924875	0.9891608391608392
IPA_HIST1H2BE_UP	0.5653445217440161	0.15744291671935007	0.08263772954924875	0.9891608391608392
IPA_HIST1H2BC_UP	0.5653445217440161	0.15744291671935007	0.08263772954924875	0.9891608391608392
IPA_NFATC1_DN	0.5639252414700484	0.24448295266706244	0.08330550918196995	0.9891608391608392
IPA_NFATC3_DN	0.5633779317579487	0.24608229204658674	0.0835559265442404	0.9891608391608392
IPA_ETS2_DN	0.55509322407174	0.3218216489530036	0.08580968280467446	0.9891608391608392
IPA_GLIS1_UP	0.5550859136151396	0.18093058039890908	0.0858931552587646	0.9891608391608392
IPA_TBX21_UP	0.5481615740379084	0.1731125546303556	0.08814691151919866	0.9891608391608392
IPA_CEBPA_DN	0.5469856210470062	0.24695344174489245	0.08864774624373957	0.9891608391608392
IPA_CREB3L1_DN	0.5464805397507554	0.16207524516332789	0.08889816360601002	0.9891608391608392
IPA_HIST1H1D_DN	0.5405390531218148	0.1732819775826729	0.09048414023372287	0.9891608391608392
IPA_HIST1H1E_DN	0.5405390531218148	0.1732819775826729	0.09048414023372287	0.9891608391608392
IPA_ISL1_UP	0.5316262513343715	0.26640915681301175	0.09290484140233723	0.9891608391608392
IPA_BNIP3_UP	0.5270230073675956	0.17162901806361316	0.09390651085141903	0.9891608391608392
IPA_POU2F1_DN	0.5228546230199688		0.09616026711185309	0.9891608391608392
IPA_VAV1_UP	0.5222971420850879	0.2396883923102456	0.09641068447412354	0.9891608391608392
IPA_DDB2_DN	0.5214925720682076	0.2534157924991743	0.09691151919866445	0.9891608391608392
IPA_NR1I2_DN	0.520728056033653	0.18883784488350466	0.09724540901502504	0.9891608391608392
IPA_EOMES_DN	0.520091160259243	0.16950733957257844	0.09774624373956595	0.9891608391608392
IPA_NEUROD4_UP	0.5174620173177319		0.09916527545909849	0.9891608391608392
IPA_BRIP1_DN	0.5128349996612847	0.17993472282618897	0.10175292153589316	0.9891608391608392
IPA_HES1_UP	0.5072511077328173	0.3307898304266739	0.10383973288814691	0.9886740331491712
IPA_LDB1_UP	0.507180254025466	0.162897329595171	0.10392320534223706	0.9886740331491712
IPA_LMO1_DN	0.4964266473820424	0.17604702761189725	0.10834724540901502	0.9855166051660517
IPA_LMO1_UP	0.49642319264738766	0.1760484100512237	0.10851419031719532	0.9855166051660517
IPA_OLIG2_UP	0.49642319264738766	0.1760484100512237	0.10851419031719532	0.9855166051660517
IPA_ELF5_DN	0.4964049149864924	0.19396111197829033	0.10859766277128548	0.9855166051660517
IPA_ZBTB7A_DN	0.4923995860505732	0.25789523631827493	0.11018363939899833	0.9855166051660517
IPA_HIF1A_DN	0.49224835576290205		0.11026711185308848	0.9855166051660517
IPA_ZIC3_DN	0.4789101900680381		0.11602671118530884	0.9824675324675325
IPA_MAF_UP	0.46750906459262503		0.12053422370617696	0.9783658310120706
IPA_GTF2F2_UP	0.46310689625405144		0.12212020033388982	0.9775092936802974
IPA_CREM_UP	0.46160754954536654		0.12278797996661102	0.9775092936802974
IPA_MLXIP_UP	0.4608182869747324		0.12320534223706177	0.9775092936802974
IPA_HDAC10_DN	0.4608182869747324		0.12320534223706177	0.9775092936802974
IPA_RAD21_UP	0.45676567525884415		0.12562604340567612	0.9772388059701493
IPA_FOXN1_UP	0.4549571492287176		0.12595993322203672	0.9772388059701493
